Typ danych;Kolekcja;Liczba elementów;Czas dodawania (ms);Czas wyszukiwania (ms);Czas usuwania (ms)
INTEGER;HASH_SET;1000;0,0118;0,0016;0,0022
Typ danych;Kolekcja;Liczba elementów;Czas dodawania (ms);Czas wyszukiwania (ms);Czas usuwania (ms)
DOUBLE;ARRAY_LIST;10000;0,0071;0,2715;0,3175
Typ danych;Kolekcja;Liczba elementów;Czas dodawania (ms);Czas wyszukiwania (ms);Czas usuwania (ms)
OBIEKTY_KLASY_PERSON;LINKED_LIST;10000;0,0170;0,2881;0,6282
Typ danych;Kolekcja;Liczba elementów;Czas dodawania (ms);Czas wyszukiwania (ms);Czas usuwania (ms)
OBIEKTY_KLASY_SAMOCHOD;TREE_SET;535543;0,0981;0,0127;0,0058
